index,input,name,qty,range_end,unit,comment
56148,1 1/2 teaspoons raspberry vinegar,raspberry vinegar,1.5,0.0,teaspoon,
56149,1 1/2 pints raspberries,raspberries,1.5,0.0,pint,
56150,1 1/2 pints blueberries,blueberries,1.5,0.0,pint,
56151,"1 pint strawberries, hulled",strawberries,1.0,0.0,pint,hulled
56152,Freshly ground black pepper to taste,black pepper,0.0,0.0,,Freshly ground to taste
56153,"Hard, round rolls, optional",round rolls,0.0,0.0,,"Hard, optional"
56154,3/4 pound ground white-meat turkey,turkey,0.75,0.0,pound,ground white-meat
56155,A few shakes of salt,salt,0.0,0.0,,A few shakes of
56156,2 teaspoons olive oil,olive oil,2.0,0.0,teaspoon,
56157,"2 tablespoons fresh coriander, chopped",coriander,2.0,0.0,tablespoon,"fresh, chopped"
56158,"1 medium-large, ripe, locally grown tomato to yield 6 ounces finely chopped, plus 3 medium-large ripe tomatoes",tomato,4.0,0.0,,"medium-large, ripe, locally grown to yield 6 finely chopped, plus 3 medium-large ripe tomatoes"
56159,1 small red onion to yield 1 tablespoon chopped,onion,1.0,0.0,,"small red, to yield 1 tablespoon chopped"
56160,1 small clove garlic,garlic,1.0,0.0,clove,
56161,An eighth to a quarter of a jalapeno pepper,jalapeno pepper,0.13,0.25,,
56162,A few sprigs of fresh cilantro to yield 2 tablespoons chopped,cilantro,0.0,0.0,,A few sprigs of fresh to yield 2 tablespoons chopped
56163,A few sprigs of parsley to yield 1 tablespoon chopped,parsley,0.0,0.0,,A few sprigs of to yield 1 tablespoon chopped
56164,1 small ball of smoked or fresh mozzarella to yield 1/2 cup coarsely shredded,mozzarella,1.0,0.0,,small ball of smoked or fresh to yield 1/2 coarsely shredded
56165,Coarse salt and freshly ground pepper to taste,salt and pepper,0.0,0.0,,Coarse freshly ground to taste
56166,"2 shallots, minced",shallots,2.0,0.0,,minced
56167,"1 clove garlic, minced",garlic,1.0,0.0,clove,minced
56168,2 tablespoons coarse salt,salt,2.0,0.0,tablespoon,coarse
56169,3 ancho chilies,ancho chilies,3.0,0.0,,
56170,1 tablespoon lemon or lime juice,juice,1.0,0.0,tablespoon,lemon or lime
56171,2 tablespoons peanut or vegetable oil,oil,2.0,0.0,tablespoon,peanut or vegetable
56172,1/2 cup heavy cream,heavy cream,0.5,0.0,cup,
56173,Coarse salt and freshly ground pepper to taste,salt and pepper,0.0,0.0,,Coarse freshly ground to taste
56174,Chopped parsley to garnish,parsley,0.0,0.0,,Chopped to garnish
56175,2 pounds medium shrimp,shrimp,2.0,0.0,pound,medium
56176,Coarse salt and freshly ground pepper to taste,salt and pepper,0.0,0.0,,Coarse freshly ground to taste
56177,4 wedges lemon,lemon,4.0,0.0,wedge,
56178,Chopped parsley to garnish,parsley,0.0,0.0,,Chopped to garnish
56179,1 mako shark steak (about 1 1/2 to 2 pounds),mako shark,1.0,0.0,steak,about 1 1/2 to 2 pounds
56180,Juice 1/2 lemon,lemon,0.5,0.0,,Juice
56181,2 tablespoons butter,butter,2.0,0.0,tablespoon,
56182,1 tablespoon peanut or vegetable oil,oil,1.0,0.0,tablespoon,peanut or vegetable
56183,"3 shallots, minced",shallots,3.0,0.0,,minced
56184,1/2 cup brandy,brandy,0.5,0.0,cup,
56185,1/2 cup dry red wine,dry red wine,0.5,0.0,cup,
56186,"1 1/2 tablespoons green peppercorns, crushed",green peppercorns,1.5,0.0,tablespoon,crushed
56187,3 tablespoons capers,capers,3.0,0.0,tablespoon,
56188,Lemon juice to taste,Lemon juice,0.0,0.0,,to taste
56189,6 tablespoons butter,butter,6.0,0.0,tablespoon,
56190,2 tablespoons peanut or vegetable oil,oil,2.0,0.0,tablespoon,peanut or vegetable
56191,Flour for dredging,Flour,0.0,0.0,,for dredging
56192,4 pairs shad roe,shad roe,4.0,0.0,pair,
56193,2 1/2 cups whipping cream,whipping cream,2.5,0.0,cup,
56194,Mint leaves for garnish,Mint leaves,0.0,0.0,,for garnish
56195,Zest of 1 orange,orange,1.0,0.0,,Zested
56196,3 tablespoons sugar,sugar,3.0,0.0,tablespoon,
56197,2 teaspoons fresh lavender flowers (optional),lavender flowers,2.0,0.0,teaspoon,fresh (optional)
56198,Pinch freshly ground black pepper,black pepper,1.0,0.0,pinch,freshly ground
56199,Pinch salt,salt,1.0,0.0,pinch,
56200,2 tablespoons sugar,sugar,2.0,0.0,tablespoon,
56201,1 pint raspberries,raspberries,1.0,0.0,pint,
56202,1 pint blackberries,blackberries,1.0,0.0,pint,
56203,2 tablespoons good-quality balsamic vinegar,balsamic vinegar,2.0,0.0,tablespoon,good-quality
56204,"4 cups ripe nectarines, sliced 1/4 inch thick",nectarines,4.0,0.0,cup,"ripe, sliced 1/4 inch thick"
56205,1 cup strawberries,strawberries,1.0,0.0,cup,
56206,4 pounds watermelon,watermelon,4.0,0.0,pound,
56207,1/2 cup sugar,sugar,0.5,0.0,cup,
56208,1/2 cup lime juice,lime juice,0.5,0.0,cup,
56209,1 cup blackberries,blackberries,1.0,0.0,cup,
56210,1 cup raspberries,raspberries,1.0,0.0,cup,
56211,1 cup cherries,cherries,1.0,0.0,cup,
56212,"2 cups strawberries, hulled and cut in half if large",strawberries,2.0,0.0,cup,hulled and cut in half if large
56213,"4 large figs, cut into quarte",figs,4.0,0.0,,"large, cut into quarte"
56214,1 cup raspberries,raspberries,1.0,0.0,cup,
56215,1/4 to 1/2 teaspoon fresh coarsely ground black pepper,black pepper,0.25,0.5,teaspoon,fresh coarsely ground
56216,8 ounces mascarpone cheese,mascarpone cheese,8.0,0.0,ounce,
56217,1/2 cup heavy cream,heavy cream,0.5,0.0,cup,
56218,1 tablespoon sugar,sugar,1.0,0.0,tablespoon,
56219,4 pinches mace,mace,4.0,0.0,pinch,
56220,1/4 cup grappa or other brandy,grappa,0.25,0.0,cup,or other brandy
56221,1/4 cup sugar,sugar,0.25,0.0,cup,
56222,"Zest of 1/2 lemon, in strips",lemon,0.5,0.0,,"Zested, in strips"
56223,1 tablespoon lemon juice,lemon juice,1.0,0.0,tablespoon,
56224,"10 mint leaves, torn in half",mint leaves,10.0,0.0,,torn in half
56225,1/4 cup not-too-sweet riesling,riesling,0.25,0.0,cup,not-too-sweet
56226,3/4 cup brown sugar,brown sugar,0.75,0.0,cup,
56227,1/2 cup dark corn syrup,corn syrup,0.5,0.0,cup,dark
56228,1/2 cup molasses,molasses,0.5,0.0,cup,
56229,2 cups buttermilk,buttermilk,2.0,0.0,cup,
56230,1 tablespoon butter for greasing the tin cans,butter,1.0,0.0,tablespoon,for greasing the tin cans
56231,4 eggs,eggs,4.0,0.0,,
56232,1 pound brown sugar,brown sugar,1.0,0.0,pound,
56233,1 1/2 teaspoons vanilla,vanilla,1.5,0.0,teaspoon,
56234,1 3/4 cups sifted flour,flour,1.75,0.0,cup,sifted
56235,1/2 cup chopped dates,dates,0.5,0.0,cup,chopped
56236,1/8 teaspoon salt,salt,0.13,0.0,teaspoon,
56237,"1 1/4 pounds fresh sour cherries, pitted (1 pound quick-frozen sour cherries may be substituted)",sour cherries,1.25,0.0,pound,"fresh, pitted (1 pound quick-frozen sour may be substituted)"
56238,1/2 cup firmly packed lemon verbena leaves,lemon verbena leaves,0.5,0.0,cup,firmly packed
56239,4 tablespoons sugar,sugar,4.0,0.0,tablespoon,
56240,1/4 teaspoon ground mace,mace,0.25,0.0,teaspoon,ground
56241,1 cup raisins,raisins,1.0,0.0,cup,
56242,2 tablespoons rum,rum,2.0,0.0,tablespoon,
56243,1 1/2 cups whole-wheat flour,whole-wheat flour,1.5,0.0,cup,
56244,1 cup white flour,white flour,1.0,0.0,cup,
56245,2 1/2 cups bran flakes,bran flakes,2.5,0.0,cup,
56246,1 teaspoon baking soda,baking soda,1.0,0.0,teaspoon,
56247,1 egg,egg,1.0,0.0,,
56248,2 tablespoons chopped Italian parsley,chopped Italian parsley,2.0,0.0,tablespoon,
56249,"1 large red onion, about 1/2 pound, peeled and thinly sliced","large red onion, about 1/2 pound, peeled and thinly sliced",1.0,0.0,,
56250,2 whole allspice,whole allspice,2.0,0.0,,
56251,1 bay leaf,bay leaf,1.0,0.0,,
56252,Salt and freshly ground pepper to taste,salt and freshly ground pepper to taste,0.0,0.0,,
56253,1/2 teaspoon sugar,sugar,0.5,0.0,teaspoon,
56254,2 teaspoons red-wine vinegar,red-wine vinegar,2.0,0.0,teaspoon,
56255,2 whole cloves,whole cloves,2.0,0.0,,
56256,"1 1/2 pounds fresh beets, trimmed and washed","fresh beets, trimmed and washed",1.5,0.0,pound,
56257,"Freshly grated peccorino or Parmesan cheese, optional",cheese,0.0,0.0,,"Freshly grated peccorino or Parmesan, optional"
56258,1/2 cup coarsely chopped fresh basil leaves or 1/2 cup chopped Italian parsley,basil leaves,0.5,0.0,cup,coarsely chopped fresh or 1/2 cup chopped Italian parsley
56259,Freshly ground pepper to taste,pepper,0.0,0.0,,Freshly ground to taste
56260,1/3 cup heavy cream,heavy cream,0.33,0.0,cup,
56261,1/8 teaspoon red hot-pepper flakes,red hot-pepper flakes,0.13,0.0,teaspoon,
56262,"1/3 cup Absolut lemon vodka or regular vodka flavored with the juice of 1/2 lemon, optional",lemon vodka,0.33,0.0,cup,"Absolut or regular vodka flavored with the juice of 1/2 lemon, optional"
56263,2 tablespoons olive oil,olive oil,2.0,0.0,tablespoon,
56264,1 pound imported spaghetti,spaghetti,1.0,0.0,pound,imported
56265,"5 ripe plum tomatoes, about 1 pound, cut into 1/2-inch cubes",plum tomatoes,5.0,0.0,,"ripe, about 1 pound, cut into 1/2-inch cubes"
56266,1 tablespoon finely chopped garlic,garlic,1.0,0.0,tablespoon,finely chopped
56267,12 cups water,water,12.0,0.0,cup,
56268,Salt to taste,Salt,0.0,0.0,,to taste
56269,1 pound green beans,green beans,1.0,0.0,pound,
56270,"Common crackers, optional",Common crackers,0.0,0.0,,optional
56271,"18 cherrystone clams, shucked, with clam juice reserved, about 2 cups",clams,18.0,0.0,,"cherrystone, shucked, with clam juice reserved, about 2 cups"
56272,2 cups whole milk,milk,2.0,0.0,cup,whole
56273,1/2 cup evaporated milk or light cream,milk,0.5,0.0,cup,evaporated or light cream
56274,Salt to taste,Salt,0.0,0.0,,to taste
56275,1/4 cup chopped fresh chives or flat-leaf parsley,chives,0.25,0.0,cup,chopped fresh or flat-leaf parsley
56276,2 bay leaves,bay leaves,2.0,0.0,,
56277,1 cup salt mixed with 12 cups cold water,salt,1.0,0.0,cup,mixed with 12 cups cold water
56278,,water,12.0,0.0,cup,cold
56279,"2 ounces salt pork, pancetta or blanched bacon (see note), diced",salt pork,2.0,0.0,ounce,"pancetta or blanched bacon (see note), diced"
56280,3 tablespoons unsalted butter,unsalted butter,3.0,0.0,tablespoon,
56281,"2 medium yellow onions, halved and thinly sliced",yellow onions,2.0,0.0,,"medium, halved and thinly sliced"
56282,"2 or 3 medium potatoes, peeled and cubed (about 2 1/2 cups)",potatoes,2.0,3.0,,"medium, peeled and cubed (about 2 1/2 cups)"
56283,Freshly ground black pepper to taste,black pepper,0.0,0.0,,Freshly ground to taste
56284,2 to 3 pounds soft-shell or steamer clams (30 to 40 clams) in the shell,clams,2.0,3.0,pound,soft-shell or steamer (30 to 40 clams) in the shell
56285,"1/4 to 1/2 teaspoon ground red chili pepper, optional",red chili pepper,0.25,0.5,teaspoon,"ground, optional"
56286,Salt and freshly ground black pepper,Salt and black pepper,0.0,0.0,,freshly ground
56287,2 tablespoons minced flat-leaf parsley,parsley,2.0,0.0,tablespoon,minced flat-leaf
56288,6 tablespoons unsalted butter,unsalted butter,6.0,0.0,tablespoon,
56289,24 saltine crackers,saltine crackers,24.0,0.0,,
56290,3/4 cup milk or half-and-half,milk,0.75,0.0,cup,or half-and-half
56291,"2 large eggs, lightly beaten",eggs,2.0,0.0,,"large, lightly beaten"
56292,Salt and freshly ground pepper to taste,Salt and pepper,0.0,0.0,,freshly ground to taste
56293,1 pound shucked steamer clams,clams,1.0,0.0,pound,shucked steamer
56294,1/4 cup minced yellow onion,yellow onion,0.25,0.0,cup,minced
56295,1/4 cup minced red bell pepper,red bell pepper,0.25,0.0,cup,minced
56296,1 teaspoon finely chopped garlic,garlic,1.0,0.0,teaspoon,finely chopped
56297,2 tablespoons finely chopped fresh chives,chives,2.0,0.0,tablespoon,finely chopped fresh
56298,1 tablespoon olive oil,olive oil,1.0,0.0,tablespoon,
56299,1 tablespoon butter,butter,1.0,0.0,tablespoon,
56300,"1 pound string beans, trimmed",string beans,1.0,0.0,pound,trimmed
56301,4 lemon wedges for garnishing,lemon,4.0,0.0,wedge,for garnishing
56302,"8 thin slices country ham like prosciutto, Smithfield or Black Forest",ham,8.0,0.0,slice,"country like prosciutto, Smithfield or Black Forest"
56303,"1 egg yolk, lightly beaten in a small bowl",egg,1.0,0.0,,"yolk, lightly beaten in a small bowl"
56304,"4 slices of country bread or French bread, about 1/4 inch thick, toasted or fresh",bread,4.0,0.0,slice,"country or French, about 1/4 inch thick, toasted or fresh"
56305,1/2 cup heavy cream,heavy cream,0.5,0.0,cup,
56306,1/2 cup half-and-half,half-and-half,0.5,0.0,cup,
56307,2 teaspoons Worcestershire sauce,Worcestershire sauce,2.0,0.0,teaspoon,
56308,Salt and freshly ground white pepper to taste,Salt and white pepper,0.0,0.0,,freshly ground to taste
56309,"4 tablespoons chopped scallions, white only",scallions,4.0,0.0,tablespoon,"chopped, white only"
56310,4 tablespoons dry sherry,dry sherry,4.0,0.0,tablespoon,
56311,2 tablespoons butter,butter,2.0,0.0,tablespoon,
56312,2 teaspoons curry powder,curry powder,2.0,0.0,teaspoon,
56313,Salt and freshly ground black pepper,Salt and black pepper,0.0,0.0,,freshly ground
56314,1 pound linguine or other long pasta,linguine,1.0,0.0,pound,or other long pasta
56315,1 pound lump crab meat or Dungeness or king crab,crab meat,1.0,0.0,pound,lump or Dungeness or king crab
56316,"1 tablespoon butter, optional",butter,1.0,0.0,tablespoon,optional
56317,"1 cup or more mixed herbs, like parsley, dill, chervil, basil, tarragon, thyme, oregano, marjoram or mint",mixed herbs,1.0,0.0,cup,"or more, like parsley, dill, chervil, basil, tarragon, thyme, oregano, marjoram or mint"
56318,1 teaspoon minced garlic,garlic,1.0,0.0,teaspoon,minced
56319,2 tablespoons grated Parmesan cheese,cheese,2.0,0.0,tablespoon,grated Parmesan
56320,3 tablespoons olive oil,olive oil,3.0,0.0,tablespoon,
56321,"1/4 cup olive oil, or more to taste",olive oil,0.25,0.0,cup,or more to taste
56322,"1 tablespoon chopped fresh oregano, or 2 teaspoons dried",oregano,1.0,0.0,tablespoon,"chopped fresh, or 2 teaspoons dried"
56323,1 teaspoon minced garlic,garlic,1.0,0.0,teaspoon,minced
56324,1 cup finely chopped onions,onions,1.0,0.0,cup,finely chopped
56325,"3 small zucchini, about 3/4 pound",zucchini,3.0,0.0,,"small, about 3/4 pound"
56326,"3 ripe plum tomatoes, about 1/2 pound",tomatoes,3.0,0.0,,"ripe plum, about 1/2 pound"
56327,Salt and freshly ground pepper to taste,Salt and pepper,0.0,0.0,,freshly ground to taste
56328,"1 medium-size green pepper, cored, seeded and coarsely chopped",green pepper,1.0,0.0,,"medium-size, cored, seeded and coarsely chopped"
56329,1/4 cup dry white wine,dry white wine,0.25,0.0,cup,
56330,1 cup fresh or canned chicken broth,chicken broth,1.0,0.0,cup,fresh or canned
56331,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
56332,Freshly ground black pepper to taste,black pepper,0.0,0.0,,Freshly ground to taste
56333,3 tablespoons butter,butter,3.0,0.0,tablespoon,
56334,4 tablespoons chopped shallots,shallots,4.0,0.0,tablespoon,chopped
56335,"1/2 pound mushrooms, sliced",mushrooms,0.5,0.0,pound,sliced
56336,Mushroom sauce,Mushroom sauce,0.0,0.0,,
56337,"4 tablespoons chopped fresh herbs, like parsley, dill, coriander or a combination of several",herbs,4.0,0.0,tablespoon,"chopped fresh, like parsley, dill, or a combination of several"
56338,"1/2 cup yogurt, drained in cheesecloth or strainer",yogurt,0.5,0.0,cup,drained in cheesecloth or strainer
56339,1/4 teaspoon ground cumin,cumin,0.25,0.0,teaspoon,ground
56340,Salt and freshly ground pepper to taste,Salt and pepper,0.0,0.0,,freshly ground to taste
56341,1/8 teaspoon Tabasco sauce,Tabasco sauce,0.13,0.0,teaspoon,
56342,1/4 teaspoon grated nutmeg,nutmeg,0.25,0.0,teaspoon,grated
56343,1 1/2 cups fine fresh bread crumbs,bread crumbs,1.5,0.0,cup,fine fresh
56344,1 teaspoon minced garlic,garlic,1.0,0.0,teaspoon,minced
56345,2 pounds ground veal,veal,2.0,0.0,pound,ground
56346,1/4 teaspoon salt,salt,0.25,0.0,teaspoon,
56347,Freshly ground black pepper to taste,black pepper,0.0,0.0,,Freshly ground to taste
56348,4 ounces mizuna,mizuna,4.0,0.0,ounce,
56349,1 teaspoon olive oil,olive oil,1.0,0.0,teaspoon,
56350,1 teaspoon balsamic vinegar,balsamic vinegar,1.0,0.0,teaspoon,
56351,1 teaspoon honey mustard,mustard,1.0,0.0,teaspoon,honey
56352,1 tablespoon butter,butter,1.0,0.0,tablespoon,
56353,4 tablespoons finely chopped onion,onion,4.0,0.0,tablespoon,finely chopped
56354,3/4 cup instant or fine ground polenta,polenta,0.75,0.0,cup,instant or fine ground
56355,3 ounces Parmigiano Reggiano,Parmigiano Reggiano,3.0,0.0,ounce,
56356,3 cups no-salt-added chicken stock,chicken stock,3.0,0.0,cup,no-salt-added
56357,16 ounces whole zucchini,zucchini,16.0,0.0,ounce,whole
56358,1 tablespoon olive oil,olive oil,1.0,0.0,tablespoon,
56359,16 ounces whole red pepper or 14 ounces ready-cut chopped pepper (4 cups),red pepper,16.0,0.0,ounce,whole or 14 ounces ready-cut chopped pepper (4 cups)
56360,4 tablespoons honey,honey,4.0,0.0,tablespoon,
56361,Salt to taste,Salt,0.0,0.0,,to taste
56362,"4 sprigs fresh thyme, or 1 teaspoon dried",thyme,4.0,0.0,sprig,"fresh, or 1 teaspoon dried"
56363,1 teaspoon freshly ground black pepper,black pepper,1.0,0.0,teaspoon,freshly ground
56364,2 bay leaves,bay leaves,2.0,0.0,,
56365,2 teaspoons ground cumin,cumin,2.0,0.0,teaspoon,ground
56366,"2 tablespoons chopped fresh oregano, or 1 tablespoon dried",oregano,2.0,0.0,tablespoon,"chopped fresh, or 1 tablespoon dried"
56367,"1 tablespoon Tabasco sauce, or to taste",Tabasco sauce,1.0,0.0,tablespoon,or to taste
56368,1/4 teaspoon red pepper flakes,red pepper flakes,0.25,0.0,teaspoon,
56369,3 tablespoons lemon juice,lemon juice,3.0,0.0,tablespoon,
56370,1 tablespoon chili powder,chili powder,1.0,0.0,tablespoon,
56371,1 tablespoon ground coriander,coriander,1.0,0.0,tablespoon,ground
56372,1/4 cup Worcestershire sauce,Worcestershire sauce,0.25,0.0,cup,
56373,1 6-ounce can tomato paste,tomato paste,6.0,0.0,ounce,1 6-ounce can
56374,1/2 cup red-wine vinegar,red wine vinegar,0.5,0.0,cup,
56375,2 tablespoons finely chopped garlic,garlic,2.0,0.0,tablespoon,finely chopped
56376,1 28-ounce can crushed tomatoes,tomatoes,28.0,0.0,ounce,1 28-ounce can crushed
56377,2 tablespoons olive oil,olive oil,2.0,0.0,tablespoon,
56378,1 1/2 cups finely chopped onions,onions,1.5,0.0,cup,finely chopped
56379,3 tablespoons heavy cream,heavy cream,3.0,0.0,tablespoon,
56380,1 tablespoon olive oil,olive oil,1.0,0.0,tablespoon,
56381,Sea salt,salt,0.0,0.0,,Sea
56382,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
56383,"1 medium onion, cut into quarters",onion,1.0,0.0,,"medium, cut into quarters"
56384,1/4 cup dry vermouth,dry vermouth,0.25,0.0,cup,
56385,2 poussins (2 1/2 pounds each),poussins,2.0,0.0,,2 1/2 pounds each
56386,1/4 cup thyme leaves,thyme leaves,0.25,0.0,cup,
56387,Grated zest of 1 orange,orange,1.0,0.0,,Grated zest of
56388,1 tablespoon aniseed,aniseed,1.0,0.0,tablespoon,
56389,1/4 cup Dijon mustard,Dijon mustard,0.25,0.0,cup,
56390,1/3 cup semisweet chocolate chips,semisweet chocolate,0.33,0.0,cup,chips
56391,1/2 cup chopped honey-roasted peanuts or other nuts,peanuts,0.5,0.0,cup,chopped honey-roasted or other nuts
56392,1 teaspoon baking soda,baking soda,1.0,0.0,teaspoon,
56393,2 cups flour,flour,2.0,0.0,cup,
56394,"3 very ripe bananas (medium size), mashed",bananas,3.0,0.0,,"very ripe (medium size), mashed"
56395,2 eggs,eggs,2.0,0.0,,
56396,1/2 cup sugar,sugar,0.5,0.0,cup,
56397,1/2 cup unsalted butter,unsalted butter,0.5,0.0,cup,
56398,1/2 teaspoon cinnamon,cinnamon,0.5,0.0,teaspoon,
56399,6 tablespoons flour,flour,6.0,0.0,tablespoon,
56400,1/2 cup sugar,sugar,0.5,0.0,cup,
56401,1/4 cup butter,butter,0.25,0.0,cup,
56402,1 teaspoon freshly grated ginger,ginger,1.0,0.0,teaspoon,freshly grated
56403,Grated zest of 1 lemon,lemon,1.0,0.0,,
56404,Grated zest of 1 orange,orange,1.0,0.0,,
56405,4 cups shredded cabbage,cabbage,4.0,0.0,cup,shredded
56406,"3 Granny Smith apples, about 1 1/2 pounds",Granny Smith apples,3.0,0.0,,about 1 1/2 pounds
56407,1 teaspoon lemon juice,lemon juice,1.0,0.0,teaspoon,
56408,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
56409,"1/4 cup sweet pickled Vidalia onions, finely chopped",Vidalia onions,0.25,0.0,cup,"sweet pickled, finely chopped"
56410,"2 tablespoons prepared mustard, Dijon-style",Dijon-style mustard,2.0,0.0,tablespoon,prepared
56411,1 teaspoon sugar,sugar,1.0,0.0,teaspoon,
56412,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
56413,"2 tablespoons white pepper, or to taste",white pepper,2.0,0.0,tablespoon,or to taste
56414,1 teaspoon chopped parsley,parsley,1.0,0.0,teaspoon,chopped
56415,1/2 pound medium black olives (nicoise),black olives,0.5,0.0,pound,medium (nicoise)
56416,2 tablespoons olive oil,olive oil,2.0,0.0,tablespoon,
56417,1/2 cup white wine,white wine,0.5,0.0,cup,
56418,12 large mussels,mussels,12.0,0.0,,large
56419,1 pound medium shrimp,shrimp,1.0,0.0,pound,medium
56420,1/4 teaspoon crushed red pepper,red pepper,0.25,0.0,teaspoon,crushed
56421,1 pound linguine,linguine,1.0,0.0,pound,
56422,1/4 cup mayonnaise,mayonnaise,0.25,0.0,cup,
56423,2 tablespoons sour cream,sour cream,2.0,0.0,tablespoon,
56424,1 tablespoon capers,capers,1.0,0.0,tablespoon,
56425,"2 cloves garlic, chopped",garlic,2.0,0.0,clove,chopped
56426,Small amount of olive oil,olive oil,0.0,0.0,,Small amount of
56427,"1 can (1 1/2 pounds) Italian plum tomatoes, drained and squeezed",plum tomatoes,1.5,0.0,pound,"1 can (1 1/2 pounds) Italian, drained and squeezed"
56428,1/3 cup Scotch,Scotch,0.33,0.0,cup,
56429,1/4 cup brown sugar,brown sugar,0.25,0.0,cup,
56430,1/4 cup soy sauce,soy sauce,0.25,0.0,cup,
56431,2 tablespoons Dijon mustard,Dijon mustard,2.0,0.0,tablespoon,
56432,1 teaspoon Worcestershire sauce,Worcestershire sauce,1.0,0.0,teaspoon,
56433,"1 onion, chopped",onion,1.0,0.0,,chopped
56434,"4 New York strip sirloin steaks, approximately 12 ounces each",New York strip sirloin,4.0,0.0,,"steaks, approximately 12 ounce each"
56435,1/4 cup chopped onion,onion,0.25,0.0,cup,chopped
56436,2 tablespoons finely chopped dill,dill,2.0,0.0,tablespoon,finely chopped
56437,3 drops Worcestershire sauce,Worcestershire sauce,3.0,0.0,drop,
56438,Salt and pepper to taste,Salt and pepper,0.0,0.0,,to taste
56439,2 cups heavy cream,heavy cream,2.0,0.0,cup,
56440,1 quart milk,milk,1.0,0.0,quart,
56441,2 tablespoons butter,butter,2.0,0.0,tablespoon,
56442,"1 large Idaho potato, peeled and cut in 1/2-inch dice",Idaho potato,1.0,0.0,,"large, peeled and cut in 1/2-inch dice"
56443,1/2 cup finely chopped onion,onion,0.5,0.0,cup,finely chopped
56444,"1 leek, cut in julienne style",leek,1.0,0.0,,cut in julienne style
56445,Freshly grated horseradish mixed with a little vinegar,horseradish,0.0,0.0,,Freshly grated mixed with a little vinegar
56446,1 dozen cherrystone clams,cherrystone clams,12.0,0.0,,1 dozen
56447,"3 eggs, separated",eggs,3.0,0.0,,separated
56448,1 1/2 tablespoons white vinegar,white vinegar,1.5,0.0,tablespoon,
56449,"2 carrots, peeled and cut in julienne style",carrots,2.0,0.0,,peeled and cut in julienne style
56450,"1/2 cup fresh parsley, minced",parsley,0.5,0.0,cup,"fresh, minced"
56451,2 tablespoons minced fresh tarragon,tarragon,2.0,0.0,tablespoon,minced fresh
56452,Salt and freshly ground black pepper,Salt and black pepper,0.0,0.0,,freshly ground
56453,1/2 cup dry kosher-for-Passover wine,dry kosher-for-Passover wine,0.5,0.0,cup,
56454,1/2 cup matzoh meal,matzoh meal,0.5,0.0,cup,
56455,5 cups fish stock,fish stock,5.0,0.0,cup,
56456,2 heads cabbage,cabbage,2.0,0.0,head,
56457,1 tablespoon vegetable oil,vegetable oil,1.0,0.0,tablespoon,
56458,"1 medium-size onion, finely chopped",onion,1.0,0.0,,"medium-size, finely chopped"
56459,1 pound whitefish fillets,whitefish,1.0,0.0,pound,fillets
56460,1/2 pound pike fillets,pike,0.5,0.0,pound,fillets
56461,1/2 pound carp fillets,carp,0.5,0.0,pound,fillets
56462,1 cup fish stock,fish stock,1.0,0.0,cup,
56463,"4 brook trout, boned and skinned",brook trout,4.0,0.0,,boned and skinned
56464,1 tablespoon fresh lemon juice,lemon juice,1.0,0.0,tablespoon,fresh
56465,Salt and freshly ground black pepper,Salt and black pepper,0.0,0.0,,freshly ground
56466,"2 medium onions, chopped",onions,2.0,0.0,,"medium, chopped"
56467,1 1/2 pound whitefish fillet in 1-inch dice,whitefish,1.5,0.0,pound,fillet in 1-inch dice
56468,1/2 pound pike fillets in 1-inch dice,pike,0.5,0.0,pound,fillets in 1-inch dice
56469,1/2 pound carp fillets in 1-inch dice,carp,0.5,0.0,pound,fillets in 1-inch dice
56470,2 eggs,eggs,2.0,0.0,,
56471,"2 leeks, white part only, cleaned and chopped",leeks,2.0,0.0,,"white part only, cleaned and chopped"
56472,1 tablespoon vegetable oil,vegetable oil,1.0,0.0,tablespoon,
56473,"4 scallions with long, fresh-looking leaves",scallions,4.0,0.0,,"with long, fresh-looking leaves"
56474,1 tablespoon chopped basil,basil,1.0,0.0,tablespoon,chopped
56475,1/2 pound whitefish fillets,whitefish,0.5,0.0,pound,fillets
56476,1 egg,egg,1.0,0.0,,
56477,Pinch of nutmeg,nutmeg,1.0,0.0,pinch,
56478,1/2 cup fish stock,fish stock,0.5,0.0,cup,
56479,2 tablespoons matzoh meal,matzoh meal,2.0,0.0,tablespoon,
56480,"2 cups shelled peas (If fresh peas are not available, frozen peas may be used.)",peas,2.0,0.0,cup,"shelled (If fresh are not available, frozen peas may be used.)"
56481,"4 small white onions, peeled and sliced",white onions,4.0,0.0,,"small, peeled and sliced"
56482,"8 Boston lettuce leaves, shredded",Boston lettuce leaves,8.0,0.0,,shredded
56483,1 tablespoon fresh lemon juice,lemon juice,1.0,0.0,tablespoon,fresh
56484,2 sprigs fresh thyme or 1/2 teaspoon dried,thyme,2.0,0.0,sprig,fresh or 1/2 teaspoon dried
56485,1 tablespoon fresh lemon juice,lemon juice,1.0,0.0,tablespoon,fresh
56486,1/4 cup finely chopped parsley,parsley,0.25,0.0,cup,finely chopped
56487,Salt and freshly ground black pepper,Salt and black pepper,0.0,0.0,,freshly ground
